,Pozitif_yazi,Pozitif_sonuc
80, euromoney    bank  gave  award    break  world record    able  serve    like  joke  akbank,"Sentiment(polarity=0.5, subjectivity=0.625)"
81, akbank   hacked  '    money better  safe ,"Sentiment(polarity=0.5, subjectivity=0.5)"
82,     hours since  akbank servers went offline   stated   tweet   issue   related   cyber security issue   slightly doubt  since  coincides   ransomware attack also targeting banks  someone save  dad  bank account lmao,"Sentiment(polarity=0.14444444444444446, subjectivity=0.5222222222222223)"
83, martinfowler please save  akbank   super  xyz pattern  also using  could native  tools  maybe  write  blog  native mainframe   akbank  hackbank  failbank  thoughtworks,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6666666666666666)"
84,one  turkey' largest banks  akbank  '  accessible online   day   half   customers even reported   ' able  withdraw money  atms  akbank denies cyber attacks  cannot come   satisfying explanation   problem,"Sentiment(polarity=0.30208333333333337, subjectivity=0.5416666666666666)"
85, akbank akbank system  blocked  nothing works     possible     went  akbank nisantasi   said    solved tonight   highly doubt    customers cannot access  funds  make  transaction ,"Sentiment(polarity=0.08, subjectivity=0.77)"
86,hey  cz binance  joelkatz  akbank one   biggest bank  turkey    reached    hours      good time  promote  xrp  bnb  bitcoin   crypto solves  problems  go     forget  promote  halalcoin   credit ,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
87, mvollmer1  alvinfoo  like  akbank developers trying  solve  problem lol  akbank  akbankdestek,"Sentiment(polarity=0.8, subjectivity=0.7)"
88,turkish bank akbank     hours straight  bitcoin fixes    bitcoin  crypto,"Sentiment(polarity=0.2, subjectivity=0.4)"
89,education    powerful weapon    use  change  world   akbank,"Sentiment(polarity=0.3, subjectivity=1.0)"
90, xrpthephoenix   wrote  detailed information  akbank  one  turkey  largest banks     offline    almost  day  make sure  check   ,"Sentiment(polarity=0.45, subjectivity=0.8194444444444444)"
91,win win feyyaaaazz   akbank,"Sentiment(polarity=0.8, subjectivity=0.4)"
92,   akbank  falsified rumours  cyberattacks  announced   customer data  safe   announcements could  found   twitter   akbank  please give   look  xrp community   stating    blackouts   banks going offline   extravod   ,"Sentiment(polarity=0.5, subjectivity=0.5)"
93,   interestingly  ripple  akbank began working        first turkish bank  work  ripple    detailed information  akbank  site  turkish  https  co vy9iypoyq9  akbank  ripple  ripplenet  xrp  xrpcommmunity,"Sentiment(polarity=0.3833333333333333, subjectivity=0.5277777777777778)"
94,    used ripplenet  transferring gbp  https  co 1glgfhquxd   various  reliable media channels reporting   similar issue occurred     well   customers   able  move  money  access  accounts   akbank  ripplenet  ripple,"Sentiment(polarity=0.16666666666666666, subjectivity=0.5083333333333333)"
95,    take place    november    agenda   changed    november    interesting    relationship  ripple  akbank     december  akbank announced     experimenting  ripplenet     year   akbank  ripplenet,"Sentiment(polarity=0.5, subjectivity=0.5)"
